node_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,target
2253,0.63927865,-0.42195648,0.29108822,-0.5396285,-0.42014354,0.0,0.051300455,-0.06504026,0.0,0.1499545,-0.028057117,-0.033981305,0.34239376,0.11496056,-0.1669608,0.55506784,-0.13493346,-0.25456616,0.0,-0.32809228,-0.052472714,0.082513124,0.0,0.17506194,0.0,-0.11614696,0.08749574,0.0,1.758637e-06,0.0,0.0,0.013546476,0.0,-0.035668775,0.0071598776,0.046355627,-0.019578066,0.0,-0.0124566825,-0.0015353654,-0.025407715,0.006588429,-0.023152027,-0.011011216,-0.041178506,0.0,0.0,0.016372452,0.003827078,0.0,0.006571344,-0.016423887,-0.01792611,0.011867279,0.0062516974,0.009657917,-0.00076276064,0.0,-0.0024061115,0.017947067,0.0024680374,-0.0061616045,0.0005688416,0.0021654814,-0.0047525894,0.0,0.0,-0.0125806555,0.0060654804,0.0,0.0,0.004033463,0.011218669,0.0,-0.008057396,0.0,-0.009976569,0.0,0.005704301,0.0075301444,0.019634724,-0.012421172,0.0,-0.0071202563,-0.011484362,0.0,0.0,0.022280505,-0.0039815423,0.0016603842,-0.0025095148,0.0019622415,-0.010712804,0.002705528,-0.006897702,0.0030551697,0.0138343945,-0.039538458,0.001830528,0.0,-0.0184385,-0.0012157744,0.0,0.0,-0.0046116286,-0.013508419,0.0,0.008570971,-0.014938256,0.0,0.0,-0.003929124,-0.005078541,-0.005616049,0.004163428,-0.0031236918,7.022009e-05,0.0,0.0,-0.01242234,-0.028880136,0.012165937,0.0,0.009637217,0.005927384,-0.004304331,-0.0048081195,0.0027304906,0
2397,0.0,0.025133193,-0.017875915,-0.041875996,0.0,-0.005314309,0.0,0.0,-0.020758443,0.0,0.029632963,-0.00965216,-0.005520312,0.010250087,-0.15185237,0.0,0.0,0.0,0.061893895,0.35661215,-0.32170323,-0.34263855,0.28054604,0.067892425,-0.008084339,0.0,-0.01091544,0.029407984,1.6844568e-05,0.020153427,0.025035378,0.0,0.0,0.0007474441,0.0027018196,0.00091031473,0.027333729,0.0,0.037016056,0.0,0.0,-0.037554227,0.008863979,-0.0056195827,0.0045718867,0.00889641,0.0,-0.02056522,-0.047625806,0.060389098,-0.3801364,0.079998344,0.0,0.0,0.0,0.0,0.09761169,-0.11757137,0.025995739,0.0,0.0,-0.041144792,-0.06664401,0.0,0.0,0.0,0.018920401,-0.023379816,-0.08251394,-0.002081547,0.03934934,0.04755591,0.045605116,0.0,0.0,0.0,0.048728943,-0.013218723,0.0022246868,-0.010399205,0.009560373,0.011220247,0.0017188881,0.0,0.028612504,0.011130517,0.0,0.0,-0.024277348,-0.028655726,-0.016419824,0.0,0.037978545,-0.011876135,0.0032008418,0.005167219,0.056089602,-0.042331114,0.0,0.015097062,-0.029196115,-0.014331525,-0.0247505,0.00094133243,-0.015301934,0.0,-0.010437871,-0.01121789,0.0,0.0,-0.028765751,0.0,0.026399132,0.0069659576,0.0036758995,-0.010837576,-0.017894175,0.0,0.005428686,0.0,0.0,0.014103113,0.064208396,-0.05944351,0.020310659,-0.032801036,-0.034254808,0.0,0
6864,0.7676399,-0.57041395,0.0,-0.7939818,0.38039044,-0.27046576,-0.11537433,0.22070317,-0.16459566,0.02039292,-0.082039036,-0.07244768,0.04860475,0.0,0.0,-0.08021097,0.06300799,0.12000341,0.10750675,-0.04955519,-0.019229691,-0.15911299,0.09082774,-0.09775461,0.0,0.22342342,-0.06829274,0.0798932,-2.160347e-05,-0.48587275,-0.19751588,-0.1592775,-0.21034771,-0.44369486,-0.015840918,0.0,-0.05724421,-0.038476855,0.0,-0.12033969,-0.002928596,0.108956106,0.1383194,-0.072129294,0.038487017,-0.020429453,0.00037944317,0.0,0.037721895,0.0,0.0,0.015053778,0.06607537,0.07303732,0.00025660265,-0.0016791243,0.0,-0.03091693,-0.0118981805,-0.079148255,-0.017086089,-0.044938415,-0.011289319,-0.053973056,0.0,0.054331604,0.0,-0.07344547,0.038526274,-0.02778554,0.014782946,0.0,0.0,-0.05209136,-0.05785363,-0.0011090164,0.0,0.0,0.031325735,0.054384634,0.0,-0.034540974,0.027636299,-0.01995202,-0.051121112,-0.042399097,-0.021680178,-0.002012314,0.0,-0.037267566,-0.015263181,0.0,-0.017805628,0.012781285,-0.0021770129,-0.008124771,0.0,0.0,0.0077019483,0.0,0.0074857767,0.0,0.01591753,0.0019386802,-0.011421399,0.0,0.0,-0.025899297,0.0,-0.02777033,-0.016630279,0.0,-0.012163543,-0.017296588,-0.028733183,-0.046609852,-0.020002985,0.004057386,-0.01878159,-0.003346241,0.019948231,0.010632859,-0.0016331356,-0.015133526,0.0,0.010103835,0.0074484237,0.0,3
4692,0.010725163,0.0,0.0,0.0,0.0,-0.00379224,-0.016117774,0.013835284,0.0,-0.0061255964,0.0,0.0,0.008383808,-0.028092789,-0.015811961,0.014212369,0.016947173,0.00568166,0.005562439,-0.00882367,0.020416128,0.007727559,-0.030030152,0.0,-0.007670122,0.006732591,-0.045887075,-0.03519257,0.0,0.057013653,0.0,-0.026154008,-0.15207106,0.024508828,0.0,0.0,0.0,-0.13206579,-0.12660624,0.5544322,0.0,0.0,0.07893425,-0.017292872,0.07572797,0.0,-0.058384296,0.013252864,0.0,-0.005598115,0.0,-0.0031570978,0.048026927,0.0,0.011980336,0.0,-0.022272358,0.029849578,0.0,0.0,0.0,-0.028734116,0.0,-0.10913352,0.070680924,0.0,0.19747195,0.0,-0.08495727,0.03824552,0.19519922,0.17186545,-0.3191793,0.0,-0.15108284,0.07494855,0.2547341,-0.03824795,-0.044770397,0.0,0.0,0.0,-0.059391253,0.010027252,0.013124974,-0.0005853139,0.0,0.019499091,0.049429417,0.0,-0.035843484,0.035099693,0.055095065,0.0,0.0,-0.05585357,0.0,-0.018388398,-0.016961357,-0.065483116,0.008677926,0.012901202,0.018664261,0.013081754,0.0,0.0,0.021722864,-0.013527624,0.0,0.0,-0.016707402,0.0,-0.02464823,0.0,0.0041127848,0.009166541,-0.03471814,0.0,0.0,-0.0673293,-0.033733074,0.008746747,0.056713864,-0.071356185,-0.011154613,0.0,-0.025101531,0.0,1
1209,0.04816598,0.0,0.0,0.14316934,0.0,0.0,0.096104585,-0.0074184956,0.024261244,-0.014767485,0.0,0.017558895,-0.016151423,0.001254334,0.0014870726,0.0,0.0,-0.011828481,-0.014051378,0.0,0.0055342806,0.0,0.0,0.0,0.021404192,0.0,0.0,0.0,2.2727027e-06,0.0,0.0,0.0,-0.548083,0.20190378,0.0,-0.46892276,0.0,-0.07653996,0.0,-0.04956302,-0.0047753276,0.0,0.0,-0.006160289,0.0,-0.03334364,-0.07891128,0.0,0.0,-0.099650025,-0.08838097,0.0,-0.010281902,-0.13754787,0.076420255,0.02712065,-0.073112585,0.0,0.030178118,0.0,0.06470361,0.0,-0.17026551,0.0,-0.15623766,0.0,0.0,-0.1710954,0.376484,0.2556784,-0.12913114,0.0,0.0,0.13453138,0.018172761,0.009729616,0.12102265,-0.025500959,0.0,-0.16871092,0.093296275,-0.1323428,-0.028745864,0.0,0.0,-0.03348414,-0.10644193,-0.028735612,0.06683241,-0.07637549,-0.025396924,-0.024073992,-0.06079097,-0.013831858,-0.026265793,0.0,-0.026514081,0.0133337155,0.0022689253,0.0,0.0,-0.010924639,-0.02375164,-0.035360955,0.0125206215,0.0,0.0,0.026691437,-0.047829233,0.0,-0.006378134,0.04179416,0.0,-0.018558336,0.0,0.03952994,0.0,0.04744905,-0.043970734,-0.008194372,0.0,0.024525674,0.0,0.0,0.0,0.0,-0.017194537,0.00860448,0
127,1.144206,0.0,0.0,0.29950467,-0.25055456,-0.12698783,0.13881917,-0.1520198,0.0,0.04368826,0.0011748895,-0.05824184,-0.09943712,-0.00054929405,-0.017076842,0.0045745783,0.03744564,0.026123382,0.03973996,0.0,0.0,-0.049516503,0.0,0.009355113,0.0,-0.0044125332,-0.041364364,0.025978854,0.0,-0.009834509,-0.0020341484,0.0350332,0.0,0.0,0.038687073,0.0,-0.021021653,0.018877465,0.0,0.059289075,0.0,-0.07477941,0.008255637,-0.006425878,-0.029430328,0.020869035,-0.008770816,-0.016634028,-0.041664783,0.04239825,0.0,0.0,0.34261158,0.30110973,0.108394094,-0.2466263,0.0,0.0,0.0,0.1755227,0.047453128,-0.04311863,0.0,0.13890265,-0.038538586,-0.042810116,0.012087585,-0.020569447,-0.08574319,0.0,0.0,0.0,0.043463025,0.030376185,0.0,-0.009794168,0.030023605,-0.018387467,-0.007444144,-0.008981526,0.0068537947,0.008839941,-0.01208988,0.012404652,0.0,0.013872392,-0.004842786,0.017661441,-0.013111746,-0.03029166,-0.030554725,0.0,0.039401453,0.0,0.0,0.001436884,0.0,-0.056469038,0.020688953,0.0034597418,0.0,-0.0056204977,-0.013361159,-0.019699985,0.0014197042,0.0,-0.012756991,0.027146794,0.0,0.001737345,-0.008664464,0.0,0.008166956,0.0,-0.0027375687,-0.0072629782,-0.009722255,-0.006083422,0.0,0.0,0.0,0.0062779505,0.014023196,-0.03891679,0.0,-0.027691446,-0.0062931175,-0.009350941,0
7562,0.576222,1.3154799,0.64389634,-0.0056349486,-0.03571743,-0.037768763,-0.0939128,-0.023040025,-0.050829776,0.0,-0.04419633,-0.08396389,0.102132626,0.0,0.19835308,0.0,0.2169624,0.0,0.0,0.23624359,-0.09751327,0.30816442,0.08622698,-0.06026241,-0.030187538,0.0,0.0,-0.26441517,-1.1175921e-05,-0.1219475,0.11858629,0.0,0.11301531,0.0,0.039462257,0.051303063,-0.024209138,-0.0018257573,0.0,0.012721907,0.00074454304,0.0,0.017288607,-0.014650782,0.021365615,0.04217236,-0.09980707,-0.06877444,-0.13877147,-0.07580946,0.0,-0.04696759,0.006474331,0.0,0.0,0.00084617734,0.024738181,0.0050320253,-0.011891,0.0,-0.017235847,-0.0060491036,0.02938202,0.0,0.020879071,-0.033957705,-0.011808207,0.0,-0.042468283,-0.013250958,0.0077308817,-0.011465236,0.0,0.0,0.0,-0.0063665877,0.0,0.0,0.022867776,-0.024281573,0.0,0.050176013,0.0,0.0,-0.04244485,-0.015150608,0.0,-0.06376405,0.0,0.013442229,-0.029180557,-0.0040496276,0.0,0.017413072,0.025566306,0.0,-0.013213726,9.097904e-05,0.0,-0.01596992,0.0,0.0,0.0,0.0045716907,0.014707563,-0.0035673562,0.005252945,0.0,0.0,-0.0008984832,-0.0022341693,0.0067636524,-0.00038741622,-0.0074715894,0.0,-0.004907033,-0.009701314,0.008276522,0.0,0.0,0.0058923895,0.0,0.00081447605,-0.00015414879,-0.004183132,-0.011591098,0.0,0.00881843,3
4028,0.006720547,0.03380047,0.0,-0.029824803,0.011347329,0.0,-0.04911035,0.0005199957,-0.019532023,0.00824081,0.0,-0.0037954114,0.0076934174,0.0,-0.15384927,0.03006887,-0.1817503,-0.057115056,0.052455947,0.3562407,0.0,-0.32821512,0.270196,0.06869806,0.0,-0.016394656,0.025044769,0.0073620565,1.3508368e-05,0.02384191,0.0,0.014033541,0.03397848,-0.022628875,0.0032935217,0.0,0.017206665,-0.00055653416,-0.0046578636,0.0,0.0,0.008813651,-0.0038937759,-0.0022307942,0.019164827,0.011268236,0.0,0.0004678229,0.007813181,0.0013046594,0.0,0.0,0.021210225,0.0011752872,0.0012306967,0.007556842,0.0,0.0,0.006209395,-0.010949304,-0.0023583586,-0.0028964346,-1.782924e-05,-0.0062024356,0.010565743,0.0072758733,-0.012533816,0.0,0.008113239,0.00812625,0.0,-0.00038975215,0.0016982954,0.0039290306,0.0,-0.000115633324,0.0067617735,0.003737878,0.0,0.0028088922,0.0062860646,-0.0001448188,0.009530811,-0.026701605,0.0,-0.0009518482,0.0,0.010515229,-0.010108128,0.0,0.0003900826,0.00442066,-0.0021790988,-0.008828962,0.0,0.013113104,0.008153449,0.015493032,0.0033302826,0.0072430354,0.0,-0.01434857,-0.0075742654,0.0,-0.028778922,-0.029533686,-0.0030754171,-0.028646087,0.0372278,0.0,-0.031801097,-0.002541064,0.0,0.0,0.0023311898,-0.011523383,-0.009374359,0.005352547,-0.008465544,0.0,0.026148014,0.017782096,0.057336494,-0.024314186,0.017901069,-0.01189135,-0.034147352,0.023327984,0
890,0.0,0.04984588,-0.13678853,0.0,0.0,-0.013610393,-0.08030206,0.0,0.2704467,-0.24517573,0.07732651,0.0,0.18861422,-0.0910974,-0.077613465,0.20846991,0.0,0.55994475,0.0015452951,0.0,0.019111892,-0.021679515,0.0,-0.16195878,-0.03458763,0.0,0.3928944,0.046466973,4.46976e-06,0.0,-0.38956103,0.0,-0.016617825,0.0,0.0,0.0,0.032564007,0.024693284,0.1604096,0.08070312,-0.00039936602,-0.14091961,0.0,0.1398437,0.0,0.04667376,0.009535561,-0.039184712,-0.019011492,0.020939773,-0.010183716,0.0,-0.018996593,0.0,0.0029833177,-0.03488062,-0.03253052,0.033282295,0.0,-0.011747216,-0.043199457,0.0,0.05192998,-0.022608243,0.0,0.01569172,0.023979057,-0.0038579348,0.006130685,0.0,0.0,-0.014586702,-0.03768196,0.0,-0.045811288,0.0,-0.027158659,0.060640775,0.03431131,0.02046049,0.0,-0.032152414,0.03349617,-0.023933424,-0.015005716,-0.03753944,-0.0023442074,0.011981506,-0.004946051,-0.013230028,0.030259253,-0.013954581,0.0,0.040011182,0.0,0.02494335,-0.007999439,0.020929966,0.018546369,0.0,-0.01912383,0.012496714,0.0014215577,-0.019993298,0.01647962,0.018060511,-0.010519178,0.025020767,-0.0064949193,-0.012605901,-0.015372768,0.0,0.0,0.019711379,0.0,0.0,0.004377883,-0.025512824,0.0,7.45561e-05,0.0,0.026825182,0.0,0.0,0.0,-0.003106744,-0.012977067,-0.01942593,0
7500,0.014266806,0.17851904,0.0,0.0,-0.020035814,0.0,0.050500967,0.003104765,0.019417737,0.0,0.0,0.0,-0.06871016,0.0,0.0,-0.09318571,-0.13760988,-0.015018595,-0.041411184,-0.20789246,0.09472806,0.0,-0.08787132,0.0,0.0,0.0,0.120806925,0.29003736,1.4279959e-05,0.10037382,0.0,-0.14226016,-0.3290667,0.19722736,-0.06292919,-0.15355091,0.19596577,0.0,-0.09545117,-0.12719676,-0.020529605,-0.17652157,0.0,0.06853119,0.0,0.024840629,0.0,0.0,0.09665293,0.022997838,-0.007375076,0.04052777,-0.02081763,0.0,0.002043481,-0.012211233,0.009108022,0.0,0.0,0.008172803,0.0053012352,0.0,0.0069093257,-0.014219867,0.0,-0.038431015,0.009670102,0.012265199,0.0,0.00543667,-0.0039379625,0.030456888,0.004337909,-0.039150137,-0.00025214627,-0.010475072,-0.03476288,-0.012977075,0.0,0.04503739,0.0009547836,0.034063455,0.0,0.0021159488,-0.005360996,0.018612137,0.020454168,0.0029834318,-0.024010267,0.0,-0.046660848,0.0132840425,0.003432235,0.01141235,0.0,0.011547755,0.005671054,-0.0032441393,0.0077653476,0.0,0.010188356,0.0,0.0,0.0045672255,0.0,0.023982003,-0.009031938,0.018550975,-0.002536749,-0.01234472,-0.0037282514,0.012033431,-0.013400942,0.0,-0.028151078,0.0,0.015879443,-0.014133831,0.0155254,-0.03142439,0.006784049,-0.018849619,-0.007890989,0.0059730536,0.0039793784,0.014766291,0.009293357,0.0,0
